GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,34,3,0,0,8,1,2,1,2,1
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,146,0,4,0,28,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,161,3,4,0,26,1,10,1,8,1
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,167,0,4,0,29,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,172,0,4,0,29,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,182,0,4,0,30,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,145,0,2,0,26,0,8,0,7
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,12,37,1,1,1,10,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,TradeService,12,37,1,1,1,10,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,CustomUserDetailsService,0,20,0,2,0,5,0,3,0,2
spring-boot-skeleton,com.nnk.springboot.service,RatingService,12,37,1,1,1,10,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,BidService,12,37,1,1,1,10,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,12,37,1,1,1,10,1,5,0,5
spring-boot-skeleton,com.nnk.springboot.service,CustomUserDetails,27,10,0,0,8,4,6,2,6,2
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfiguration,0,275,0,0,0,40,0,6,0,6
spring-boot-skeleton,com.nnk.springboot.passwordvalidator,PasswordConstraintValidator,87,0,2,0,13,0,4,0,3,0
spring-boot-skeleton,com.nnk.springboot.domain,BidList,18,47,0,0,8,20,5,8,5,8
spring-boot-skeleton,com.nnk.springboot.domain,Trade,33,29,0,0,14,13,7,6,7,6
spring-boot-skeleton,com.nnk.springboot.domain,User,32,24,0,0,14,10,9,3,9,3
spring-boot-skeleton,com.nnk.springboot.domain,Rating,28,50,0,0,12,21,8,7,8,7
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,42,37,0,0,18,16,12,5,12,5
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,42,38,0,0,18,16,12,6,12,6
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
